2024-05-14 15:34:29,399 INFO    MainThread:6636 [wandb_setup.py:_flush():76] Current SDK version is 0.16.6
2024-05-14 15:34:29,400 INFO    MainThread:6636 [wandb_setup.py:_flush():76] Configure stats pid to 6636
2024-05-14 15:34:29,400 INFO    MainThread:6636 [wandb_setup.py:_flush():76] Loading settings from /home/shcho/.config/wandb/settings
2024-05-14 15:34:29,400 INFO    MainThread:6636 [wandb_setup.py:_flush():76] Loading settings from /home/shcho/cs570/CS570/wandb/settings
2024-05-14 15:34:29,400 INFO    MainThread:6636 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-05-14 15:34:29,400 INFO    MainThread:6636 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-05-14 15:34:29,400 INFO    MainThread:6636 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'run.py', 'program_abspath': '/home/shcho/cs570/CS570/run.py', 'program': '/home/shcho/cs570/CS570/run.py'}
2024-05-14 15:34:29,400 INFO    MainThread:6636 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-05-14 15:34:29,400 INFO    MainThread:6636 [wandb_init.py:_log_setup():521] Logging user logs to /home/shcho/cs570/CS570/wandb/run-20240514_153429-ad6du9kp/logs/debug.log
2024-05-14 15:34:29,400 INFO    MainThread:6636 [wandb_init.py:_log_setup():522] Logging internal logs to /home/shcho/cs570/CS570/wandb/run-20240514_153429-ad6du9kp/logs/debug-internal.log
2024-05-14 15:34:29,401 INFO    MainThread:6636 [wandb_init.py:init():561] calling init triggers
2024-05-14 15:34:29,401 INFO    MainThread:6636 [wandb_init.py:init():568] wandb.init called with sweep_config: {}
config: {'learning_rate': 1e-08, 'architecture': '3D CNN', 'dataset': 'KTH', 'epochs': 10}
2024-05-14 15:34:29,401 INFO    MainThread:6636 [wandb_init.py:init():611] starting backend
2024-05-14 15:34:29,401 INFO    MainThread:6636 [wandb_init.py:init():615] setting up manager
2024-05-14 15:34:29,404 INFO    MainThread:6636 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-05-14 15:34:29,406 INFO    MainThread:6636 [wandb_init.py:init():623] backend started and connected
2024-05-14 15:34:29,409 INFO    MainThread:6636 [wandb_init.py:init():715] updated telemetry
2024-05-14 15:34:29,415 INFO    MainThread:6636 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2024-05-14 15:34:30,058 INFO    MainThread:6636 [wandb_run.py:_on_init():2357] communicating current version
2024-05-14 15:34:30,141 INFO    MainThread:6636 [wandb_run.py:_on_init():2366] got version response upgrade_message: "wandb version 0.17.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-05-14 15:34:30,142 INFO    MainThread:6636 [wandb_init.py:init():799] starting run threads in backend
2024-05-14 15:34:37,302 INFO    MainThread:6636 [wandb_run.py:_console_start():2335] atexit reg
2024-05-14 15:34:37,302 INFO    MainThread:6636 [wandb_run.py:_redirect():2190] redirect: wrap_raw
2024-05-14 15:34:37,302 INFO    MainThread:6636 [wandb_run.py:_redirect():2255] Wrapping output streams.
2024-05-14 15:34:37,302 INFO    MainThread:6636 [wandb_run.py:_redirect():2280] Redirects installed.
2024-05-14 15:34:37,303 INFO    MainThread:6636 [wandb_init.py:init():842] run started, returning control to user process
